GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,White_Only_Pop,White_Pop,Black_or_African_American_Pop,Asian_Pop,Hispanic_or_Latino_Pop,White_Only_Pct,White_Pct,Black_or_African_American_Pct,Asian_Pct,Hispanic_or_Latino_Pct,Total_Pop_Error,White_Only_Pop_Error,White_Pop_Error,Black_or_African_American_Pop_Error,Asian_Pop_Error,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,PN_PM25,PN_OZONE,PN_DSLPM,PN_CANCER,PN_RESP,PN_RSEI_AIR,PN_PTRAF,PN_LDPNT,PN_PNPL,PN_PRMP,PN_PTSDF,PN_UST,PN_PWDIS,PS_PM25,PS_OZONE,PS_DSLPM,PS_CANCER,PS_RESP,PS_RSEI_AIR,PS_PTRAF,PS_LDPNT,PS_PNPL,PS_PRMP,PS_PTSDF,PS_UST,PS_PWDIS
1400000US25025000101,25025000101,"Census Tract 1.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1824,1348,1377,127,329,135,0.739035087719298,0.754934210526316,0.0696271929824561,0.180372807017544,0.0740131578947368,331,326,326,91,151,87,7.23106109589041,57.52787,0.421661447,30,0.3,4327.94159922388,1072.80670607761,397,0.686851211072664,0.08275999841791,0.155475558727079,26.338040061791,4.70737288452452,0.002001344639659,25,20,85,52,31,84,96,89,61,46,99,77,51,90,30,84,85,50,85,83,75,37,48,92,75,57
1400000US25025000102,25025000102,"Census Tract 1.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3706,2109,2118,423,771,531,0.569077172153265,0.571505666486778,0.114139233675121,0.208041014570966,0.14328116567728,750,788,791,240,271,309,7.23106109589041,57.52787,0.421661447,30,0.3,4332.7275255832,1812.831306021,487,0.326845637583892,0.08302845374475,0.141832627991922,23.2564029636995,3.93603525169305,0.003598621061389,25,20,85,52,31,84,98,62,61,43,99,73,56,90,30,84,85,50,85,92,27,38,43,90,69,66
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4309,2914,3313,418,511,408,0.676258992805755,0.768855883035507,0.097006265954978,0.118588999767928,0.0946855418890694,684,441,652,249,377,177,7.23791506849315,57.31368,0.342111556,20,0.3,4356.25203800784,863.891322243537,1308,0.70971242539338,0.085904422720718,0.120828195708576,13.3851004140425,1.43346180281887,0.002309613340501,26,19,76,6,31,84,95,90,62,36,97,50,52,91,27,76,3,50,86,78,78,40,36,86,40,59
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4094,2479,2853,431,495,1104,0.60552027357108,0.696873473375672,0.105276013678554,0.120908646800195,0.269662921348315,475,379,469,305,197,339,7.24180520547945,57.40047,0.345564856,20,0.3,4422.41387534523,736.756282943394,1179,0.763106796116504,0.087417540896818,0.1305828970135,19.2557170725169,2.80057655792189,0.001758669660559,26,20,76,6,31,84,94,93,62,39,99,65,50,92,29,77,3,50,86,75,86,41,40,88,58,55
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2827,2026,2095,228,451,309,0.716660771135479,0.74106827025115,0.0806508666430846,0.159533073929961,0.109303148213654,269,337,341,124,207,145,7.23844876712329,57.24225,0.339133306,20,0.3,4339.00010330612,1137.41273506244,523,0.422797089733225,0.084360822357143,0.112524757859375,9.9189377379713,1.54074367850765,0.001451484733418,26,19,75,6,31,84,96,71,61,34,96,51,48,92,26,76,3,50,86,85,39,39,33,83,41,53
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3349,2130,2246,317,688,314,0.636010749477456,0.670647954613317,0.0946551209316214,0.205434458047178,0.093759331143625,600,691,708,270,248,250,7.24242,57.25527,0.341777239,20,0.3,4505.75938327832,339.320258259701,886,0.626591230551626,0.089865569526693,0.116682571559896,9.04027869636849,0.85379075322526,0.00084822223763,26,19,76,6,31,84,85,85,63,35,95,41,44,92,26,76,3,50,87,53,66,44,34,81,28,45
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5446,3753,4137,379,951,781,0.689129636430408,0.759640102827764,0.0695923613661403,0.174623576937202,0.143408005875872,583,599,648,226,250,353,7.24928493150685,57.54513,0.376092036,20,0.3,4700.43656764223,456.647706875209,1408,0.465608465608465,0.096625985660687,0.143484755529985,16.6507191123936,9.83927986779088,0.00069564035879,26,20,80,6,31,85,89,74,66,43,98,89,42,94,31,80,3,50,89,62,45,49,44,87,93,42
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3810,2657,2942,140,577,500,0.69737532808399,0.772178477690289,0.036745406824147,0.151443569553806,0.131233595800525,840,557,785,87,142,308,7.24999780821918,57.38312,0.344295762,20,0.3,4623.73005052772,352.543495871213,1034,0.702923181509177,0.094749508280461,0.130304808521131,13.5094141374753,2.82717776805928,0.000791163976125,26,19,76,6,31,85,85,89,65,39,97,65,43,94,28,77,3,50,89,55,77,48,40,86,59,44
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5528,4146,4317,223,833,406,0.75,0.780933429811867,0.0403400868306802,0.150687409551375,0.0734442836468886,745,485,488,115,301,143,7.25179506849315,57.39433,0.354641437,20,0.3,4850.54234521343,477.149170717907,991,0.561473087818696,0.100021890539508,0.128790752163899,12.429585428069,2.65840713844546,0.00056089513842,26,19,78,6,31,85,90,81,67,39,97,64,40,94,29,78,3,50,91,63,58,52,39,85,57,40
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2163,1796,1845,68,225,171,0.830328247803976,0.852981969486824,0.0314378178455848,0.104022191400832,0.0790568654646325,370,361,363,54,93,93,7.25101205479452,57.5361,0.375442025,20,0.3,4834.03359289537,435.30091685397,884,0.711755233494364,0.10073128710091,0.142408254914392,15.7619968919851,6.29953595163482,0.000570461166667,26,20,80,6,31,85,88,90,67,43,98,82,40,94,31,80,3,50,91,60,79,53,43,87,83,40
