GEO_ID,NAME,DP05_0063E,DP05_0063M,DP05_0064E,DP05_0064M,DP05_0065E,DP05_0065M,DP05_0067E,DP05_0067M,DP05_0071E,DP05_0071M
Geography,Geographic Area Name,Total Population,Total Population – Error,White Population,White Population – Error,Black or African American Population,Black or African American Population – Error,Asian Population,Asian Population – Error,Hispanic Population,Hispanic Population – Error
1400000US48201221701,"Census Tract 2217.01, Harris County, Texas",5322,1608,3908,1486,19,23,8,13,5239,1615
1400000US48201221702,"Census Tract 2217.02, Harris County, Texas",3093,679,2661,817,130,199,0,14,2627,690
1400000US48201221800,"Census Tract 2218, Harris County, Texas",4044,831,3187,734,0,14,46,61,3769,835
1400000US48201221900,"Census Tract 2219, Harris County, Texas",5343,1018,3638,916,255,333,0,20,5018,986
1400000US48201222000,"Census Tract 2220, Harris County, Texas",2073,428,1610,293,208,184,9,16,1637,347
1400000US48201222100,"Census Tract 2221, Harris County, Texas",5210,737,3867,716,4,12,0,20,4902,731
1400000US48201222200,"Census Tract 2222, Harris County, Texas",3077,619,2139,410,646,470,25,32,2147,361
1400000US48201222300,"Census Tract 2223, Harris County, Texas",4909,546,3871,576,71,70,54,72,4309,519
1400000US48201222401,"Census Tract 2224.01, Harris County, Texas",2751,673,2038,549,1,4,21,30,2489,690
1400000US48201222402,"Census Tract 2224.02, Harris County, Texas",6912,1893,5477,1784,52,67,14,29,5686,1607
1400000US48201222501,"Census Tract 2225.01, Harris County, Texas",3288,400,2370,421,255,223,101,121,3031,405
1400000US48201222502,"Census Tract 2225.02, Harris County, Texas",3892,662,2438,562,176,183,38,59,3487,674
1400000US48201222504,"Census Tract 2225.04, Harris County, Texas",3816,720,3137,717,249,127,124,200,3203,661
1400000US48201222505,"Census Tract 2225.05, Harris County, Texas",3368,881,2215,621,580,628,27,44,2949,919
1400000US48201222601,"Census Tract 2226.01, Harris County, Texas",2229,461,1357,383,221,208,134,145,1991,465
1400000US48201222602,"Census Tract 2226.02, Harris County, Texas",2499,436,1256,463,1030,323,21,28,1402,431
1400000US48201222701,"Census Tract 2227.01, Harris County, Texas",2372,611,781,415,1102,293,51,68,938,396
1400000US48201222702,"Census Tract 2227.02, Harris County, Texas",3842,796,302,231,2654,490,0,14,639,223
1400000US48201222800,"Census Tract 2228, Harris County, Texas",4315,1067,3207,1209,376,552,43,50,3712,1261
1400000US48201222900,"Census Tract 2229, Harris County, Texas",7816,1353,5210,1127,618,153,0,20,6886,1380
1400000US48201223001,"Census Tract 2230.01, Harris County, Texas",4178,741,3231,664,315,142,4,7,3667,698
1400000US48201223002,"Census Tract 2230.02, Harris County, Texas",2808,447,1946,602,246,156,130,96,2275,488
1400000US48201223100,"Census Tract 2231, Harris County, Texas",2409,408,1726,443,75,63,16,17,2047,413
1400000US48201230100,"Census Tract 2301, Harris County, Texas",1470,379,286,159,977,383,1,4,470,194
1400000US48201230200,"Census Tract 2302, Harris County, Texas",5367,766,1584,703,3712,601,0,20,1508,704
1400000US48201230300,"Census Tract 2303, Harris County, Texas",2334,367,1043,300,1296,289,76,76,1118,300
1400000US48201230400,"Census Tract 2304, Harris County, Texas",3761,1174,2418,836,1268,878,62,92,2409,843
1400000US48201230500,"Census Tract 2305, Harris County, Texas",4108,1004,2721,613,823,725,81,132,3075,639
1400000US48201230600,"Census Tract 2306, Harris County, Texas",2890,586,910,267,1885,564,0,14,1030,268
1400000US48201230700,"Census Tract 2307, Harris County, Texas",2865,517,992,413,1789,330,5,8,915,357
