ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS
25025000101,Massachusetts,MA,Suffolk,1,7.23106109589041,57.52787,0.421661447,30.0,0.3,4327.941599223881,1072.806706077612,397.0,0.686851211072664,0.08275999841791,0.155475558727079,26.338040061791048,4.707372884524521,0.002001344639659
25025000102,Massachusetts,MA,Suffolk,1,7.23106109589041,57.52787,0.421661447,30.0,0.3,4332.727525583198,1812.8313060210016,487.0,0.326845637583892,0.08302845374475,0.141832627991922,23.25640296369951,3.936035251693053,0.003598621061389
25025000201,Massachusetts,MA,Suffolk,1,7.23791506849315,57.31368,0.342111556,20.0,0.3,4356.252038007841,863.8913222435366,1308.0,0.70971242539338,0.085904422720718,0.120828195708576,13.3851004140425,1.433461802818872,0.002309613340501
25025000202,Massachusetts,MA,Suffolk,1,7.24180520547945,57.40047,0.345564856,20.0,0.3,4422.413875345225,736.7562829433942,1179.0,0.763106796116504,0.087417540896818,0.1305828970135,19.25571707251688,2.80057655792189,0.001758669660559
25025000301,Massachusetts,MA,Suffolk,1,7.23844876712329,57.24225,0.339133306,20.0,0.3,4339.000103306123,1137.4127350624362,523.0,0.422797089733225,0.084360822357143,0.112524757859375,9.918937737971302,1.540743678507653,0.001451484733418
25025000302,Massachusetts,MA,Suffolk,1,7.24242,57.25527,0.341777239,20.0,0.3,4505.75938327832,339.3202582597005,886.0,0.626591230551626,0.089865569526693,0.116682571559896,9.040278696368487,0.85379075322526,0.00084822223763
25025000401,Massachusetts,MA,Suffolk,1,7.24928493150685,57.54513,0.376092036,20.0,0.3,4700.436567642234,456.6477068752093,1408.0,0.465608465608465,0.096625985660687,0.143484755529985,16.650719112393645,9.839279867790877,0.00069564035879
25025000402,Massachusetts,MA,Suffolk,1,7.24999780821918,57.38312,0.344295762,20.0,0.3,4623.730050527716,352.54349587121294,1034.0,0.702923181509177,0.094749508280461,0.130304808521131,13.509414137475304,2.827177768059276,0.000791163976125
25025000502,Massachusetts,MA,Suffolk,1,7.25179506849315,57.39433,0.354641437,20.0,0.3,4850.542345213427,477.1491707179072,991.0,0.561473087818696,0.100021890539508,0.128790752163899,12.429585428068997,2.658407138445462,0.00056089513842
25025000503,Massachusetts,MA,Suffolk,1,7.25101205479452,57.5361,0.375442025,20.0,0.3,4834.033592895368,435.30091685397014,884.0,0.711755233494364,0.10073128710091,0.142408254914392,15.761996891985111,6.299535951634823,0.000570461166667
25025000505,Massachusetts,MA,Suffolk,1,7.2502104109589,57.56942,0.460924678,30.0,0.3,4802.255504756376,465.43735867595626,332.0,0.300452488687782,0.098078998212204,0.157009123620219,19.42066353251821,12.9895901590847,0.000624961540984
25025000506,Massachusetts,MA,Suffolk,1,7.2502104109589,57.56942,0.460924678,30.0,0.3,4805.457404649741,333.2469808572366,821.0,0.571329157967988,0.100785751820725,0.149922522728152,17.998223408607945,9.160347607491882,0.000563577940242
25025000601,Massachusetts,MA,Suffolk,1,7.24418301369863,57.48761,0.371207163,20.0,0.3,4498.419328425226,1087.0387843747203,891.0,0.598790322580645,0.088768833927621,0.140094340166578,23.557728116596596,4.494233038766631,0.001378174268228
25025000603,Massachusetts,MA,Suffolk,1,7.24596547945205,57.52507,0.437866851,30.0,0.3,4585.190723,432.5295737,248.0,0.268980477223427,0.094210623,0.150566939,19.7304994,9.282102054,0.000791564
25025000604,Massachusetts,MA,Suffolk,1,7.24596547945205,57.52507,0.437866851,30.0,0.3,4574.747036649942,1094.6292340950984,553.0,0.48296943231441,0.090483858871864,0.155144369292551,23.875593029664223,5.211513292470089,0.000943613923582
25025000701,Massachusetts,MA,Suffolk,1,7.25028849315069,57.55977,0.510460027,30.0,0.3,4636.387807850565,326.55949357938897,1387.0,0.603043478260869,0.094398412263892,0.16165027292008,22.616696894405575,5.959581108707328,0.001255513733673
25025000703,Massachusetts,MA,Suffolk,1,7.24868109589041,57.71365,0.527970461,30.0,0.4,4491.265869459459,1542.5362867972972,779.0,0.72940074906367,0.090952343121622,0.180374169612613,30.594977524729728,5.204655052963965,0.005070645536036
25025000704,Massachusetts,MA,Suffolk,1,7.24693698630137,57.65037,0.526223809,30.0,0.4,4598.853278521648,1029.8019554591679,1332.0,0.594908441268423,0.092259062563818,0.168391400979669,26.860642063027107,6.882221919981174,0.002921504808735
25025000804,Massachusetts,MA,Suffolk,1,7.23861698630137,57.70688,0.524640375,30.0,0.3,4400.940442732756,2978.3445809630207,931.0,0.712863705972434,0.085277202232101,0.161395223944138,27.829981586726987,5.031227116436139,0.003063768163651
25025000805,Massachusetts,MA,Suffolk,1,7.23861698630137,57.70688,0.524640375,30.0,0.3,4452.39343646902,2980.1887122967937,631.0,0.396855345911949,0.088747662589471,0.177529976030763,31.664034097172877,5.352048882250866,0.005777519085139
25025000806,Massachusetts,MA,Suffolk,1,7.23350109589041,57.78632,0.537053224,30.0,0.4,4235.977781864604,2160.224120259128,53.0,0.060989643268124,0.079386888205375,0.164614906878803,32.17334837524847,6.358459108848377,0.01792716575355
25025000807,Massachusetts,MA,Suffolk,1,7.23350109589041,57.78632,0.537053224,30.0,0.4,4424.351768,4415.075045,0.0,0.0,0.089256607,0.201920523,43.52850186,4.142781105,0.018009824
