ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS
6037101110,California,CA,Los Angeles,9,8.67554273972603,80.34198999999998,0.152920912,30.0,0.3,412.0308813200163,67.46934876449654,993.0,0.605857230018303,0.106837520358912,0.244237480940723,0.79592176463175,0.0,0.000256203553796
6037101122,California,CA,Los Angeles,9,8.58335397260274,80.78891,0.142590174,30.0,0.3,406.7734563980955,8.21129371758235,543.0,0.38078541374474,0.097973489337983,0.222079329245172,0.693244920049893,0.0,0.00023081470279
6037101220,California,CA,Los Angeles,9,8.75163643835617,80.06156,0.22080069,30.0,0.4,428.32563434545455,236.32143985795452,724.0,0.517512508934953,0.107419513613636,0.193899696522727,1.51315170825,0.0,0.000243345840909
6037101221,California,CA,Los Angeles,9,8.75805150684931,80.0202,0.212166825,30.0,0.4,414.55353795087115,205.1145981985192,395.0,0.253856041131105,0.111106544264808,0.236479741235192,0.886912354961672,0.0,0.000266726736063
6037101222,California,CA,Los Angeles,9,8.75805150684931,80.0202,0.212166825,30.0,0.4,421.3900675,240.696137,318.0,0.319919517102615,0.110726072,0.215774716,1.0438531,0.0,0.000257492
6037101300,California,CA,Los Angeles,9,8.77179643835616,80.09128,0.221821034,30.0,0.4,473.8626393717733,278.09677106860624,850.0,0.56031641397495,0.108234785369173,0.159171947778637,1.742829959219724,0.0,0.000234936969782
6037101400,California,CA,Los Angeles,9,8.88776465753425,79.3651,0.22656088,30.0,0.4,458.55763581924066,201.5382381099025,769.0,0.498379779650032,0.118074751933299,0.21839502396511,1.373333432857363,0.0,0.000279180257568
6037102103,California,CA,Los Angeles,9,9.10729753424657,76.96263,0.255182207,30.0,0.4,499.8389983,867.7336523,472.0,0.604353393085787,0.254289684,0.967135054,8.470085266,0.0,0.010357113
6037102104,California,CA,Los Angeles,9,9.209783287671232,76.3799,0.255002554,30.0,0.4,580.2933151223248,796.5601650638248,339.0,0.246904588492352,0.360482027440092,0.685511938915003,6.715590693727342,0.0,0.005342893417563
6037102105,California,CA,Los Angeles,9,9.27428684931507,75.78837,0.269288881,40.0,0.5,504.2683320863073,3014.4333542884096,369.0,0.646234676007005,0.453966783778976,0.60907281482372,8.331155152859298,0.0,0.007469942184906
6037102107,California,CA,Los Angeles,9,8.93660876712329,78.4394,0.208838867,30.0,0.4,414.5154357091867,59.99080336149096,585.0,0.472536348949919,0.182034850060241,0.891762661646586,5.130397242028614,0.0,0.001416684227912
6037103101,California,CA,Los Angeles,9,8.55026739726027,80.95278,0.142283074,30.0,0.3,385.8918689168141,15.582329345088493,592.0,0.605936540429887,0.102339262252212,0.316453477022124,0.735844294110619,0.0,0.000262195929204
6037103102,California,CA,Los Angeles,9,8.64975150684931,80.41065,0.15367919,30.0,0.3,398.91408426683506,64.49878735566078,996.0,0.581436077057793,0.110030970685606,0.352364112719907,0.869183868543982,0.0,0.000281104538721
6037103201,California,CA,Los Angeles,9,8.57745178082192,80.69542,0.164436378,30.0,0.3,386.3058697063302,259.74837687219843,793.0,0.492240844196151,0.11563349239692,0.597913552698888,1.703894042806672,0.0,0.000330997985458
6037103202,California,CA,Los Angeles,9,8.57745178082192,80.69542,0.164436378,30.0,0.3,369.7429415,731.8199018,313.0,0.447142857142857,0.103617918,0.494951132,1.780382351,0.0,0.000241393
6037103300,California,CA,Los Angeles,9,8.75609863013699,79.42577,0.17394737,30.0,0.3,382.7715328876044,102.05931563430306,685.0,0.496017378711078,0.134616296324564,0.995989048959272,3.829622292900582,0.0,0.000558814757652
6037103401,California,CA,Los Angeles,9,8.76356054794521,79.71787,0.171349562,30.0,0.3,397.2414677,567.4104265,520.0,0.485074626865671,0.125761241,0.652328283,2.419457602,0.0,0.00035814
6037103402,California,CA,Los Angeles,9,8.76356054794521,79.71787,0.171349562,30.0,0.3,404.5842345447117,85.27344491662329,1096.0,0.721527320605661,0.119474701173742,0.371196327448098,0.919931503342577,0.0,0.000306151222331
6037104103,California,CA,Los Angeles,9,8.53161780821918,80.277,0.155501641,30.0,0.3,351.6662144550774,553.4969350418787,345.0,0.387205387205387,0.091465789089478,0.237546057715298,4.958444040810548,0.0,3.1634563e-08
6037104105,California,CA,Los Angeles,9,8.59062109589041,79.80493,0.234472099,30.0,0.4,354.79777868398065,421.31904392815466,190.0,0.119421747328724,0.093359359940657,0.275478153068678,9.619591630698116,0.0,4.1028294e-08
6037104108,California,CA,Los Angeles,9,8.61640356164384,79.64644,0.200146903,30.0,0.3,359.9739772538343,470.78846660329384,326.0,0.242921013412816,0.098563394610739,0.391067350846629,6.749417124548808,0.0,3.0760175e-08
6037104124,California,CA,Los Angeles,9,8.46584684931507,80.93992,0.147846515,30.0,0.3,358.33345347276713,809.0574137908246,453.0,0.330415754923413,0.096295264903993,0.404021881207708,3.525451053166167,0.0,2.2682413e-08
6037104201,California,CA,Los Angeles,9,8.49948054794521,80.13952999999998,0.252291238,30.0,0.4,325.326731169751,1310.9903680520674,639.0,0.697598253275109,0.081997095838474,0.196948544325109,9.040648951745716,0.0,1.14567677e-07
6037104203,California,CA,Los Angeles,9,8.5645402739726,79.86141,0.258532905,30.0,0.4,346.4376853779236,509.45272450947886,495.0,0.432314410480349,0.088313803915265,0.237590778384079,8.726443739077759,0.0,5.6771463e-08
6037104204,California,CA,Los Angeles,9,8.46767232876712,80.6102,0.171671214,30.0,0.3,331.53825863126514,1760.6547916740315,120.0,0.157687253613666,0.087183915650726,0.221161901131356,6.348424879668887,0.0,4.6061459e-08
6037104310,California,CA,Los Angeles,9,8.58612767123288,79.45541,0.260138988,30.0,0.4,342.4421517119199,1152.2681438393083,627.0,0.64572605561277,0.082976878068244,0.212745981784804,12.183456063283892,0.0,3.50664021e-07
