GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,White_Only_Pop,White_Pop,Black_or_African_American_Pop,Asian_Pop,Hispanic_or_Latino_Pop,White_Only_Pct,White_Pct,Black_or_African_American_Pct,Asian_Pct,Hispanic_or_Latino_Pct,Total_Pop_Error,White_Only_Pop_Error,White_Pop_Error,Black_or_African_American_Pop_Error,Asian_Pop_Error,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,PN_PM25,PN_OZONE,PN_DSLPM,PN_CANCER,PN_RESP,PN_RSEI_AIR,PN_PTRAF,PN_LDPNT,PN_PNPL,PN_PRMP,PN_PTSDF,PN_UST,PN_PWDIS,PS_PM25,PS_OZONE,PS_DSLPM,PS_CANCER,PS_RESP,PS_RSEI_AIR,PS_PTRAF,PS_LDPNT,PS_PNPL,PS_PRMP,PS_PTSDF,PS_UST,PS_PWDIS
1400000US48113000501,48113000501,"Census Tract 5.01, Dallas County, Texas",Texas,TX,Dallas,6,1879,1054,1291,464,279,392,0.56093666844066,0.687067589143161,0.246939861628526,0.148483235763704,0.208621607237893,708,480,507,388,430,404,9.43270106849315,65.94696,0.522277995,30,0.4,333.095328784923,466.514566737744,83,0.048708920187793,0.150039171242051,0.274091937688205,2.28300533270564,4.98267530560718,0.008988320796923,82,80,92,52,69,40,89,23,79,64,76,78,64,61,57,98,43,79,51,94,46,87,48,91,89,68
1400000US48113000502,48113000502,"Census Tract 5.02, Dallas County, Texas",Texas,TX,Dallas,6,2079,1823,1823,74,66,221,0.876863876863877,0.876863876863877,0.0355940355940356,0.0317460317460317,0.106301106301106,460,462,462,57,99,171,9.43270106849315,65.94696,0.522277995,30,0.4,348.339135700321,298.813351433641,0,0,0.14816267681654,0.217481737608992,2.04412369121076,4.20610969740185,0.043602849983541,82,80,92,52,69,41,83,0,78,59,74,74,76,61,57,98,43,79,52,88,0,87,41,90,84,84
1400000US48113000503,48113000503,"Census Tract 5.03, Dallas County, Texas",Texas,TX,Dallas,6,2128,1384,1460,310,381,72,0.650375939849624,0.68609022556391,0.145676691729323,0.179041353383459,0.0338345864661654,290,323,319,218,224,118,9.43270106849315,65.94696,0.522277995,30,0.4,347.15233194157,516.543746343823,75,0.044669446098868,0.156930352299055,0.259885341414608,2.30465204974455,6.76815782915044,0.011254092485102,82,80,92,52,69,41,90,22,80,63,77,84,66,61,57,98,43,79,52,95,45,88,47,91,95,70
1400000US48113000605,48113000605,"Census Tract 6.05, Dallas County, Texas",Texas,TX,Dallas,6,2270,1620,1896,31,360,319,0.713656387665198,0.835242290748899,0.0136563876651982,0.158590308370044,0.140528634361233,245,210,249,27,163,133,9.43231021917808,66.04025,0.483256025,30,0.3,330.902371962562,641.961318019343,252,0.132561809573908,0.139683598934276,0.227424501066972,2.0643577813386,4.95964655050707,0.046368335373544,82,80,90,52,31,40,93,39,77,60,75,78,76,61,57,97,43,28,51,96,64,85,43,90,88,84
1400000US48113000606,48113000606,"Census Tract 6.06, Dallas County, Texas",Texas,TX,Dallas,6,2849,2368,2397,136,195,230,0.831168831168831,0.841347841347841,0.0477360477360477,0.0684450684450684,0.0807300807300807,393,391,392,158,128,144,9.42609819178082,66.07513,0.387328657,30,0.3,318.124289845773,547.30799997877,439,0.202210962690004,0.128086068411041,0.223337905641956,1.94304589867697,3.61833645799117,0.048466775621136,81,80,81,52,31,39,91,49,74,59,73,71,77,60,58,92,43,28,51,96,72,83,42,89,78,84
1400000US48113000607,48113000607,"Census Tract 6.07, Dallas County, Texas",Texas,TX,Dallas,6,1844,1396,1510,148,186,127,0.75704989154013,0.818872017353579,0.0802603036876356,0.100867678958785,0.0688720173535792,343,354,367,135,103,99,9.43719665753425,66.12282,0.362864963,30,0.3,310.013946576119,256.820830020616,515,0.337483617300131,0.127706888023321,0.257627278545243,1.95291218987174,1.61397537696129,0.019956932526586,82,81,79,52,31,39,79,63,74,63,74,52,71,62,58,90,43,28,50,84,82,83,47,89,50,77
1400000US48113000608,48113000608,"Census Tract 6.08, Dallas County, Texas",Texas,TX,Dallas,6,2177,1511,1823,25,352,337,0.694074414331649,0.837390904915021,0.0114836931557189,0.161690399632522,0.154800183739091,636,393,504,28,379,273,9.43719665753425,66.12282,0.362864963,30,0.3,319.068686570877,560.429330224529,184,0.104308390022675,0.139554132050988,0.285137408581075,2.16467525152595,2.25629850958567,0.009248382209922,82,81,79,52,31,39,91,34,77,65,75,60,65,62,58,90,43,28,51,96,59,85,49,90,61,68
1400000US48113000609,48113000609,"Census Tract 6.09, Dallas County, Texas",Texas,TX,Dallas,6,1547,1113,1194,273,53,300,0.719457013574661,0.771816418875242,0.176470588235294,0.0342598577892696,0.193923723335488,330,276,274,271,64,210,9.44019301369863,66.25691,0.345120395,30,0.3,303.2021209,539.5596956,327,0.304469273743016,0.133153816,0.488196689,2.935760018,2.945109934,0.006124208,82,81,76,52,31,38,91,60,76,76,81,66,61,62,59,87,43,28,50,95,80,84,63,94,70,63
1400000US48113000610,48113000610,"Census Tract 6.10, Dallas County, Texas",Texas,TX,Dallas,6,2633,2078,2094,237,0,2290,0.789213824534751,0.795290543106722,0.0900113938473224,0,0.869730345613369,842,748,748,223,14,839,9.44019301369863,66.25691,0.345120395,30,0.3,314.760989405763,258.184303474039,4,0.003225806451613,0.144799958842679,0.697790362155763,3.60672716446469,5.80436103082139,0.004667333241952,82,81,76,52,31,39,80,0,78,82,84,81,58,62,59,87,43,28,51,85,18,86,72,96,92,60
1400000US48113000611,48113000611,"Census Tract 6.11, Dallas County, Texas",Texas,TX,Dallas,6,2062,1372,1372,491,174,478,0.66537342386033,0.66537342386033,0.23811833171678,0.0843840931134821,0.231813773035888,359,368,368,225,112,324,9.44019301369863,66.25691,0.345120395,30,0.3,311.102717401483,496.337883629819,261,0.161609907120743,0.144687972143328,0.388317314901153,2.82679553012521,2.27121520996211,0.005548255372323,82,81,76,52,31,39,90,43,78,72,80,60,60,62,59,87,43,28,50,95,68,86,57,94,61,62
