GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,White_Only_Pop,White_Pop,Black_or_African_American_Pop,Asian_Pop,Hispanic_or_Latino_Pop,White_Only_Pct,White_Pct,Black_or_African_American_Pct,Asian_Pct,Hispanic_or_Latino_Pct,Total_Pop_Error,White_Only_Pop_Error,White_Pop_Error,Black_or_African_American_Pop_Error,Asian_Pop_Error,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,PN_PM25,PN_OZONE,PN_DSLPM,PN_CANCER,PN_RESP,PN_RSEI_AIR,PN_PTRAF,PN_LDPNT,PN_PNPL,PN_PRMP,PN_PTSDF,PN_UST,PN_PWDIS,PS_PM25,PS_OZONE,PS_DSLPM,PS_CANCER,PS_RESP,PS_RSEI_AIR,PS_PTRAF,PS_LDPNT,PS_PNPL,PS_PRMP,PS_PTSDF,PS_UST,PS_PWDIS
1400000US48201211200,48201211200,"Census Tract 2112, Harris County, Texas",Texas,TX,Harris,6,2213,226,237,1805,14,406,0.102123813827384,0.107094441934026,0.815634884771803,0.00632625395390872,0.183461364663353,442,157,156,415,23,233,10.3750967123288,68.66622,0.643287532,30,0.5,49811.6214672958,184.897102345248,641,0.486712224753227,1.0109414201245,0.926186034838019,3.39446721323427,5.38415235688487,0.000358236773762,95,90,95,52,92,98,71,76,98,87,83,79,36,91,76,99,43,99,93,76,91,99,80,96,90,32
1400000US48201211301,48201211301,"Census Tract 2113.01, Harris County, Texas",Texas,TX,Harris,6,2419,402,432,1720,39,648,0.166184373708144,0.178586192641587,0.711037618850765,0.0161223646134766,0.267879288962381,684,292,314,545,56,362,10.3948964383562,69.0472,0.550721925,30,0.4,46474.7550103284,1092.29118699478,593,0.574612403100775,1.75332329021119,0.723062848040299,2.32863997770672,1.64902427519478,0.048558971340299,96,91,93,52,69,98,96,82,99,83,77,53,77,92,79,98,43,79,93,99,94,99,73,91,51,84
1400000US48201211302,48201211302,"Census Tract 2113.02, Harris County, Texas",Texas,TX,Harris,6,2722,125,233,1475,0,1152,0.0459221160911095,0.0855988243938281,0.541880969875092,0,0.423218221895665,535,105,182,503,14,454,10.3948964383562,69.0472,0.550721925,30,0.4,49216.805033246,669.232906881187,737,0.507925568573397,1.43197796081303,1.05451607948073,2.94205523351966,3.57477756757325,0.035142128510794,96,91,93,52,69,98,93,78,99,89,81,71,75,92,79,98,43,79,93,97,92,99,83,95,78,82
1400000US48201211400,48201211400,"Census Tract 2114, Harris County, Texas",Texas,TX,Harris,6,3819,751,1101,1558,166,1642,0.196648337261063,0.288295365278869,0.407960199004975,0.0434668761455879,0.429955485729249,577,246,386,345,136,498,10.3822465753425,69.23265,0.538043196,40,0.4,49383.9234530374,1038.3356470191,690,0.377255330781848,1.83621080482312,0.978065231427061,2.76133155786892,4.05293098796805,0.112161693498003,96,92,92,93,69,98,96,67,99,88,80,74,81,92,81,98,90,79,93,98,85,99,81,94,82,90
1400000US48201211501,48201211501,"Census Tract 2115.01, Harris County, Texas",Texas,TX,Harris,6,2864,1235,1781,106,0,2682,0.431215083798883,0.621857541899441,0.0370111731843575,0,0.93645251396648,637,580,615,164,14,647,10.3289030136986,68.66948,0.54302056,40,0.4,60129.3616906226,222.964661327276,786,0.778217821782178,0.281927240823957,1.52469404191593,4.02601028803224,6.58328659772724,0.059641337785082,95,90,93,93,69,98,76,94,90,94,86,83,78,89,76,98,90,79,95,81,98,95,90,97,94,86
1400000US48201211502,48201211502,"Census Tract 2115.02, Harris County, Texas",Texas,TX,Harris,6,3375,1401,1631,152,13,3220,0.415111111111111,0.483259259259259,0.045037037037037,0.00385185185185185,0.954074074074074,912,431,406,107,21,922,10.3289030136986,68.66948,0.54302056,40,0.4,56277.400330911,659.079540377706,723,0.737755102040816,0.515886166081458,1.50648237085102,3.49505688197321,13.500595130686,0.034419767165059,95,90,93,93,69,98,93,91,95,93,84,93,74,89,76,98,90,79,94,97,98,98,90,96,99,82
1400000US48201211600,48201211600,"Census Tract 2116, Harris County, Texas",Texas,TX,Harris,6,3235,868,1039,560,0,2555,0.268315301391036,0.321174652241113,0.173106646058733,0,0.789799072642968,436,480,487,145,14,444,10.3679082191781,68.73696,0.581254038,40,0.4,52728.6750625659,256.594779308295,567,0.446456692913385,0.842485014337434,1.39018553691388,3.30196975211248,4.26596099847452,0.000471347151142,95,90,94,93,69,98,79,73,97,93,83,75,39,91,77,99,90,79,94,84,89,99,88,95,84,35
1400000US48201211700,48201211700,"Census Tract 2117, Harris County, Texas",Texas,TX,Harris,6,3846,1053,1229,1877,100,1699,0.273790951638066,0.319552782111284,0.488039521580863,0.0260010400416017,0.441757670306812,702,431,456,524,153,536,10.3445224657534,68.45853,0.572877213,40,0.4,54389.0371143167,164.243148593917,898,0.587696335078534,0.790331000587353,1.29783062513719,3.14154126182208,3.91967620970418,0.000885758742497,95,90,94,93,69,98,68,83,97,92,82,73,44,90,75,99,90,79,94,72,94,99,87,95,81,41
1400000US48201211900,48201211900,"Census Tract 2119, Harris County, Texas",Texas,TX,Harris,6,5528,2193,2682,56,16,5350,0.396707670043415,0.485166425470333,0.0101302460202605,0.00289435600578871,0.967800289435601,1082,754,768,53,27,1083,10.3421898630137,68.49641,0.518120537,40,0.4,57576.020689169,74.2835690470384,1278,0.722442057659694,0.451061562645325,1.77450479867861,3.46055602678864,6.63675789998389,0.000873568766801,95,90,91,93,69,98,45,91,94,95,84,83,44,90,75,98,90,79,94,43,97,97,92,96,95,41
1400000US48201212300,48201212300,"Census Tract 2123, Harris County, Texas",Texas,TX,Harris,6,4348,1304,2059,245,13,3757,0.299908003679853,0.473551057957682,0.0563477460901564,0.00298988040478381,0.864075436982521,722,426,632,128,19,706,10.4162597260274,69.47375,0.573275089,30,0.4,41374.4824212672,352.768861668669,1135,0.566367265469061,1.1000622659992,0.790929859571514,1.59616243669465,4.39170425238413,0.012907696245474,96,92,94,52,69,98,85,81,98,84,70,75,67,94,83,99,43,79,92,90,94,99,76,86,85,72
