GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,Total_Pop_Error,White_Only_Pop,White_Only_Pop_Error,White_Pop,White_Pop_Error,Black_or_African_American_Pop,Black_or_African_American_Pop_Error,Asian_Pop,Asian_Pop_Error,Hispanic_or_Latino_Pop,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS
1400000US25025000505,25025000505,"Census Tract 5.05, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2178,304,1281,284,1430,307,289,158,520,182,185,134,7.2502104109589,57.56942,0.460924678,30.0,0.3,4802.255504756376,465.43735867595626,332.0,0.300452488687782,0.098078998212204,0.157009123620219,19.42066353251821,12.9895901590847,0.000624961540984
1400000US25025000506,25025000506,"Census Tract 5.06, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2368,423,1652,353,1657,354,77,84,507,161,175,127,7.2502104109589,57.56942,0.460924678,30.0,0.3,4805.457404649741,333.2469808572366,821.0,0.571329157967988,0.100785751820725,0.149922522728152,17.998223408607945,9.160347607491882,0.000563577940242
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3794,451,2623,293,2741,290,203,108,853,411,144,81,7.24418301369863,57.48761,0.371207163,20.0,0.3,4498.419328425226,1087.0387843747203,891.0,0.598790322580645,0.088768833927621,0.140094340166578,23.557728116596596,4.494233038766631,0.001378174268228
1400000US25025000603,25025000603,"Census Tract 6.03, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1668,605,293,91,348,85,170,64,595,344,474,513,7.24596547945205,57.52507,0.437866851,30.0,0.3,4585.190723,432.5295737,248.0,0.268980477223427,0.094210623,0.150566939,19.7304994,9.282102054,0.000791564
1400000US25025000604,25025000604,"Census Tract 6.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2473,391,1690,424,1732,415,108,82,609,287,293,285,7.24596547945205,57.52507,0.437866851,30.0,0.3,4574.747036649942,1094.6292340950984,553.0,0.48296943231441,0.090483858871864,0.155144369292551,23.875593029664223,5.211513292470089,0.000943613923582
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4363,808,3043,803,3231,779,191,147,835,273,491,217,7.25028849315069,57.55977,0.510460027,30.0,0.3,4636.387807850565,326.55949357938897,1387.0,0.603043478260869,0.094398412263892,0.16165027292008,22.616696894405575,5.959581108707328,0.001255513733673
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1707,239,1126,221,1172,225,61,50,473,112,232,137,7.24868109589041,57.71365,0.527970461,30.0,0.4,4491.265869459459,1542.5362867972972,779.0,0.72940074906367,0.090952343121622,0.180374169612613,30.594977524729728,5.204655052963965,0.005070645536036
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4216,449,2068,396,2187,398,472,134,1245,278,658,319,7.24693698630137,57.65037,0.526223809,30.0,0.4,4598.853278521648,1029.801955459168,1332.0,0.594908441268423,0.092259062563818,0.168391400979669,26.860642063027107,6.882221919981174,0.002921504808735
1400000US25025000804,25025000804,"Census Tract 8.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3425,750,2119,700,2387,818,414,284,711,229,413,357,7.23861698630137,57.70688,0.524640375,30.0,0.3,4400.940442732756,2978.3445809630207,931.0,0.712863705972434,0.085277202232101,0.161395223944138,27.829981586726987,5.031227116436139,0.003063768163651
1400000US25025000805,25025000805,"Census Tract 8.05, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3086,362,1524,308,1611,326,271,258,984,251,531,271,7.23861698630137,57.70688,0.524640375,30.0,0.3,4452.39343646902,2980.1887122967937,631.0,0.396855345911949,0.088747662589471,0.177529976030763,31.664034097172877,5.352048882250866,0.005777519085139
