GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,DP05_0063E,DP05_0063M,DP05_0064E,DP05_0064M,DP05_0065E,DP05_0065M,DP05_0067E,DP05_0067M,DP05_0071E,DP05_0071M,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3810,260,2777,311,135,82,862,167,314,89,7.25048547945205,58.04694,0.543288198,30.0,0.4,4347.759538168168,4081.8864593952953,787.0,0.660789252728799,0.094114413212315,0.274563268975893,47.26904695868719,15.833781973786811,0.008609702108336
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5351,429,4154,410,348,116,860,154,389,88,7.26147726027397,58.06584,0.539040956,40.0,0.4,4368.693956336289,1305.1745222082527,184.0,0.727272727272727,0.101261979348631,0.325943049241034,60.881536905383726,13.194368107900116,0.003660819150791
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2753,252,1625,260,337,178,528,169,450,139,7.25428794520548,58.26421,0.594474551,30.0,0.4,4019.3,4844.382675214847,893.0,0.444942700548081,0.093524700937716,0.41879228436804,51.19136911558351,26.425711150025165,0.004572089068575
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5135,451,3263,428,214,92,1487,214,452,127,7.26131178082192,58.24001,0.560486293,30.0,0.4,4099.057069088916,2629.7339312618756,1056.0,0.706827309236947,0.09670564882617,0.444327120898382,47.060965569116064,11.205094241630244,0.003597230557856
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,6008,425,4008,358,784,197,1129,180,735,160,7.27071753424658,58.24791,0.560413082,30.0,0.4,4114.842391363636,3697.3719980966,549.0,0.577287066246056,0.098663777776302,0.4425659731789,47.59247670104772,12.739206781892896,0.003381798803006
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1497,176,1005,152,207,151,274,83,189,113,7.2572602739726,58.16424,0.550178982,30.0,0.4,4299.194226,1891.049333,660.0,0.723684210526315,0.096619477,0.354905665,52.1068324,37.71714407,0.004631883
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3413,378,2411,393,330,159,610,167,608,272,7.25464547945205,58.34676,0.601936701,30.0,0.4,3976.942530991744,6692.384801913313,1001.0,0.478489483747609,0.092931954570691,0.473677627211558,48.9272055832095,4.510745461754386,0.00416935724871
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3168,319,2176,303,336,208,619,255,167,116,7.24539260273973,58.40318,0.648738961,30.0,0.4,3890.509457155285,6638.174498131481,558.0,0.20057512580877,0.08945843788212,0.469703366741287,51.135218944346846,1.734538943697648,0.004751299911873
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2383,243,2056,243,44,40,325,108,238,95,7.24218739726027,58.3574,0.663875515,30.0,0.4,3953.9215991643728,5064.257849037357,1368.0,0.878612716763005,0.088249398449076,0.391173793108927,53.07734890723948,0.311975763340543,0.007358424329139
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2579,247,2398,234,56,46,137,61,152,72,7.2320898630137,58.43979,0.688955468,30.0,0.4,3786.2121040756015,5136.930818710482,1475.0,0.854577056778679,0.085119369847079,0.458096738432131,52.42255926843643,4.055405567988832,0.007378831756014
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3002,325,2721,329,116,117,170,58,192,86,7.23226383561644,58.4101,0.68780644,30.0,0.5,3802.51288994958,5609.075523467086,1701.0,0.878162106350025,0.083769132230392,0.476934929160714,50.24325704762255,1.330966325835784,0.010424367531863
